"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: tokens","Param: type","Param: wrapped"
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,656.599743,4.959898,"ns/op",400,reflection-locking,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,628.195319,0.326845,"ns/op",400,reflection-locking,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,649.808772,2.016771,"ns/op",400,reflection-sync,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,627.986580,2.242868,"ns/op",400,reflection-sync,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,783.304595,0.350699,"ns/op",500,pooled,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,771.836462,1.303373,"ns/op",500,pooled,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,795.614879,0.829056,"ns/op",500,locking,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,780.263034,1.203786,"ns/op",500,locking,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,791.495928,0.753061,"ns/op",500,sync,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,777.303523,0.711731,"ns/op",500,sync,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,807.756649,0.822651,"ns/op",500,reflection-locking,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,784.160004,0.477543,"ns/op",500,reflection-locking,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,806.410555,3.221091,"ns/op",500,reflection-sync,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,783.500425,1.635729,"ns/op",500,reflection-sync,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,939.696747,1.400754,"ns/op",600,pooled,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,928.454442,0.662910,"ns/op",600,pooled,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,951.453482,0.877319,"ns/op",600,locking,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,936.188568,0.870182,"ns/op",600,locking,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,946.676053,1.389815,"ns/op",600,sync,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,933.194466,1.554177,"ns/op",600,sync,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,968.333453,1.641306,"ns/op",600,reflection-locking,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,938.864964,0.687592,"ns/op",600,reflection-locking,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,964.483613,0.854164,"ns/op",600,reflection-sync,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,940.665532,1.405611,"ns/op",600,reflection-sync,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,1095.978979,5.655594,"ns/op",700,pooled,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,1083.644002,1.544828,"ns/op",700,pooled,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,1108.165602,4.973231,"ns/op",700,locking,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,1091.927303,0.635923,"ns/op",700,locking,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,1103.869948,4.036413,"ns/op",700,sync,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,1088.812508,0.161118,"ns/op",700,sync,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,1119.187225,1.448583,"ns/op",700,reflection-locking,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,1095.276925,4.321890,"ns/op",700,reflection-locking,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,1116.534284,0.800143,"ns/op",700,reflection-sync,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,1095.859858,2.077778,"ns/op",700,reflection-sync,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,1252.419164,6.620899,"ns/op",800,pooled,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,1239.923917,2.045312,"ns/op",800,pooled,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,1267.229840,3.747853,"ns/op",800,locking,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,1248.013013,1.118592,"ns/op",800,locking,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,1260.164254,7.895539,"ns/op",800,sync,true
